id;title;keywords;description;rating;photo;photo_content_type;date_added;date_modified
1;Generic Steel Tuna;website calculating;cross-platform support;98666;../fake-data/blob/hipster.png;image/png;2020-12-26;2020-12-27
2;wireless Computer;Legacy Dynamic magenta;THX actuating;88209;../fake-data/blob/hipster.png;image/png;2020-12-26;2020-12-27
3;Centers Steel Credit Card Account;networks infomediaries;partnerships throughput;54662;../fake-data/blob/hipster.png;image/png;2020-12-27;2020-12-26
4;compressing New Zealand initiative;Generic Metal Hat;intranet;48018;../fake-data/blob/hipster.png;image/png;2020-12-27;2020-12-27
5;Small Wooden Bike Licensed Wooden Computer Oklahoma;aggregate throughput Practical;mobile distributed Dynamic;80377;../fake-data/blob/hipster.png;image/png;2020-12-27;2020-12-26
6;COM Personal Loan Account yellow;Cape Verde;intangible homogeneous;66238;../fake-data/blob/hipster.png;image/png;2020-12-27;2020-12-27
7;CSS Liaison;Keyboard;Central Ergonomic Concrete Ball;88292;../fake-data/blob/hipster.png;image/png;2020-12-26;2020-12-26
8;methodical;quantifying Cheese rich;South Dakota Underpass virtual;79521;../fake-data/blob/hipster.png;image/png;2020-12-27;2020-12-26
9;Fantastic;Sleek Soft Sausages Practical;User-friendly lavender wireless;77577;../fake-data/blob/hipster.png;image/png;2020-12-27;2020-12-27
10;Harbors backing up;Massachusetts Checking Account Gorgeous Fresh Ball;Unbranded Steel Computer;64809;../fake-data/blob/hipster.png;image/png;2020-12-27;2020-12-27
